,site,n,d18O,d2H,a,b,theta,area,intersect_area,perc overlap,koppen,clim
0,Ehl_83,0,-13.34079285156474,-99.42711520808,2.3709602085315256,93.70116471384478,-0.128687707805707,nan,nan,nan,Dfb,D
1,Ehl_83,159,-13.340390889611747,-99.42547479170895,19.045274815573922,92.85652074805284,0.1154331772935833,5546.91541644,nan,1,Dfb,D
2,Ehl_83,18,-10.952313279702429,-80.77540390436168,7.907804060198544,267.8919749700064,-0.011445487931696264,6644.57761565,2400.10365203,0.361212373586,Dfb,D
3,Ehl_83,18,-14.670661279918498,-110.68945370251208,27.53984082637376,537.7942360469697,-0.14593480821075788,46454.6898893,5351.34179147,0.115194866314,Dfb,D
4,Ehl_83,24,0.05214260208582466,-104.62195525917407,814.9826030445357,57784.03134724929,0.05897702197796166,147709415.673,5546.91541644,3.7552889849e-05,Dfb,D
5,Ehl_83,24,-11.829489146229632,-89.97062509260076,7.235625716541992,194.6830045938525,0.10633647266311887,4418.31206448,2503.17529689,0.56654560845,Dfb,D
6,Ehl_83,24,-14.589302663435191,-109.95339003440577,8.21226381599871,304.39334337026185,-0.03914470665120355,7840.60983031,2375.55404101,0.302980774763,Dfb,D
7,Ehl_83,24,-14.908608504264269,-110.93997348293065,30.95583104204437,297.05332849618077,-0.25961686627123637,28842.2332201,4917.6051922,0.170500153531,Dfb,D
8,Ehl_83,24,-13.491683735556682,-98.94442040190388,682.5329370900679,90.68070662521711,0.444028606936231,194129.05202,5546.91541644,0.0285733400473,Dfb,D
9,Ehl_83,30,-13.824144649137002,-100.50022957801778,23.656600752013276,125.94354668341404,0.2805639528825207,9345.02060658,5214.02226849,0.557946577969,Dfb,D
10,Ehl_83,30,-12.796527264086434,-97.74985134793373,9.761563097605856,48.95919656529982,0.04846770940893033,1499.01350955,1499.01350955,1.0,Dfb,D
11,Ehl_83,30,-11.808029849860052,-88.14437115117912,11.22751613025869,127.78246528994714,-0.16193020471884312,4499.94413358,2354.76649612,0.523287940075,Dfb,D
12,Ehl_83,30,-14.600397349144748,-107.10431393791278,17.892886241134494,698.2649212269008,0.14310620927926035,39187.9659687,5275.39256787,0.134617667375,Dfb,D
13,Ehl_83,30,-14.65506566947162,-110.09517853632498,12.874306372417276,202.33511041065276,-0.04364544957930832,8170.47335725,3519.75724063,0.43078988043,Dfb,D
14,Ehl_83,30,-11.980681908066646,-89.78244248648538,7.14466866863309,85.9427289036539,-0.04492996328033699,1925.94253772,1741.63336017,0.904301829395,Dfb,D
15,Ehl_83,30,-16.479413158606263,-79.16963975542293,418.6213360563735,36506.50169222697,0.10611922620245455,47933990.7101,5546.91541644,0.000115719875067,Dfb,D
16,Ehl_83,30,-14.80614667599038,-110.58311981307405,8.300092228491307,122.56770067232445,-0.05836493185666692,3190.88273528,2165.78823966,0.678742661305,Dfb,D
17,Ehl_83,30,-16.16680634021819,-112.1519311675895,15.544176904234435,653.7436194223757,0.09458691034190327,31873.3187766,4758.35756654,0.149289680183,Dfb,D
18,Ehl_83,30,-13.142450009791139,-95.99657153693818,41.79339609308523,241.80519391181235,0.35216745617480766,31697.5231522,5546.91541644,0.174995231955,Dfb,D
19,Ehl_83,36,-13.248680356296134,-98.13583858047622,5.458330282592286,129.84015897646705,-0.025573779961864836,2222.90466249,1561.90300201,0.702640571306,Dfb,D
20,Ehl_83,36,-15.826358989362614,-117.92529102047222,19.606018971864497,40.99125634936461,-0.017594364107457624,2520.76706157,2238.674557,0.888092593375,Dfb,D
21,Ehl_83,36,-15.362073497850382,-114.34965156962578,12.03213734163792,122.56295718550915,-0.19796681948582381,4625.45141502,2328.12712896,0.50332971208,Dfb,D
22,Ehl_83,36,-13.468317435593999,-98.4778607465662,14.332336961386702,68.93906951806298,-0.07567658098860165,3099.09242606,2914.59918616,0.940468622897,Dfb,D
23,Ehl_83,36,-15.646369943027242,-116.68613234429182,5.09185002190462,251.3370294830125,-0.01703839359293424,4014.06209266,1545.58845083,0.385043483423,Dfb,D
24,Ehl_83,36,-15.323764049368947,-114.50059045295245,10.368453166340899,237.3090577050218,-0.0013798441781688396,7717.56263409,3147.22557247,0.407800457436,Dfb,D
25,Ehl_83,36,-12.657087916416758,-93.60643230185863,25.256925470132554,168.03492073837458,0.31346299300463215,13311.65674,5267.78187057,0.395726991271,Dfb,D
26,Ehl_83,36,-12.742513925918711,-96.53388657155266,13.982358732949608,57.18629962351315,-0.049898710826198546,2507.98239671,2505.06498452,0.998836749334,Dfb,D
27,Ehl_83,36,-12.323043635782359,-93.63559783843192,11.839538241743032,89.11997004112145,-0.2750482347687973,3309.496048,1946.42888152,0.588134523592,Dfb,D
28,Ehl_83,36,-12.1129449597967,-89.45862980878555,12.048860245892042,455.8742558177093,-0.07679342102581124,17228.3241973,3161.71472484,0.183518413551,Dfb,D
29,Ehl_83,48,-14.834898780102309,-109.42617888887784,30.677839524020843,476.09217670024464,0.06489459180578933,45810.7953798,5546.91541644,0.121083150171,Dfb,D
30,Ehl_83,48,-14.928524723847552,-110.06270452840755,36.01970438362111,215.6592851386511,-0.22383740130984392,24364.6551274,5459.00532352,0.224054282524,Dfb,D
31,Ehl_83,48,-11.909099423930803,-90.19393729496112,21.026492869199163,393.7221875069413,0.05237787120522785,25966.2168179,5519.93360715,0.212581356994,Dfb,D
32,Ehl_83,48,-12.150893718233986,-91.58695027917545,21.17238125619135,272.29819816233294,0.22155552807524595,18082.8323804,5338.49519779,0.295224502748,Dfb,D
