,site,m,mse,b,bse,inv_condnum,res_var,n,lat,lon,elev,proj,d2Hstd,d18Ostd,dexstd,Pstd,Tstd,Pstd_sub,Tstd_sub,d18O_min,d18O_max,dex_min,dex_max,koppen,clim
17,Diaz_Museum_MBZA,8.441905083045619,0.6534402643135371,14.542970637141076,2.173420095761486,0.128242129049,64.4858698478,55.0,-34.18,22.14,10.0,159.0,13.87151494466023,1.7616435884466797,7.469290162076282,31.9317954300755,2.805534603673812,33.40244275568387,3.014502764051447,-5.9945621232400885,-0.060165053032424164,15.40491375798417,6.655147199877865,Cfb,C
18,Ehl_196,7.597959959152646,0.1175014017496657,3.314972503815425,1.711989888297613,0.0194143087427,28.5341961744,92.0,40.78328,-111.84583,1574.9016,78.0,32.78667366357474,4.333491319013601,5.2757557298720705,34.126275330291186,8.606739844636017,31.87402171209118,8.346771155731902,-20.278836102266855,-4.5538954218646674,11.376178506832094,5.482895403944669,Dfb,D
19,Ehl_83,7.642908131279147,0.12035655649145813,2.5353367727415606,1.712320165762337,0.0234232660828,67.4645287307,159.0,40.667,-111.7991,1569.72,78.0,37.84468758704689,4.9899290009020225,7.897975136478342,34.126275330291186,8.606739844636017,31.67398032693225,8.193809712396941,-23.113832099242988,-2.0271675518681955,7.951531856996172,-5.559758939066573,Dfb,D
72,Grimes_BE 1997-2010,7.7903226949766315,0.1347346126604602,8.687556495306396,1.294145576213608,0.0299466053533,30.1149162262,163.0,47.98,-55.82,,4.0,23.052849625242185,2.9885742785691893,5.181988395385578,46.106531533543055,7.751807769453194,45.635840096597924,7.695067595938882,-17.44,-3.3949999999999996,8.442000000000002,-2.018,Dfb,D
73,Grimes_HB 1997-2010,7.735184449864238,0.09105380972633884,8.00693063184768,1.003746917257361,0.0265566243449,18.3962046613,161.0,46.5,-65.27,,4.0,26.47412069277787,3.437974066549273,4.121329976247755,38.93170247784542,10.23926569388136,36.87034230815534,10.001976445320103,-20.394999999999996,-5.193,13.048999999999998,6.700999999999999,Dfb,D
167,ID02,7.342154010790752,0.1562966376358209,-3.8221736170842906,2.1436999781434043,0.0182318491127,34.2468345786,85.0,48.3518,-116.8397,726.0,109.0,26.536820763280176,3.6390272708435933,5.94545568499077,46.46480326741008,7.802767032852545,41.6772947403205,8.04909086921342,-20.270091086362285,-7.003993553740901,10.448210920125769,-1.5686334498043677,Dsb,D
168,IISPACS_Barrow,7.340219449042561,0.2405466217863822,3.5184980012139704,4.753936320485875,0.0158063634561,214.427369136,72.0,71.3,-156.7,,128.0,46.94588793184277,6.48246700172328,14.24514463895764,10.716340958380957,11.988614279618211,11.580071368378231,11.541687575136814,-29.86322226347,-9.30090983346,33.28672999004,2.824906690989998,ET,E
172,JAMSTEC_29231,7.84219958913873,0.04663333036832921,7.014692672415967,0.81943469240892,0.0178062376463,6.60717580606,81.0,58.32,82.95,75.0,167.0,44.674960596239266,5.70009411285332,2.557859192980762,25.353508912090774,13.734118285210162,28.85078275629805,13.880923377873637,-28.55192417602087,-9.748016686062513,10.234737006645087,7.226836771548781,Dfc,D
173,JAMSTEC_29263,7.772634520510256,0.2540638698502435,2.703887652739083,4.832824099043474,0.0166851456788,167.538647479,57.0,58.45,92.15,79.0,167.0,48.5962646221888,6.327553033723207,12.077401580765912,23.254665067672253,14.127843711180143,21.729941052522644,13.871175749553904,-29.780466491151145,-9.628302918825998,10.227176022062839,-11.848292034838575,Dfc,D
174,JAMSTEC_29698,7.911221621486271,0.041914960820389154,7.062407779240853,0.8799842693665294,0.0174151434448,7.60203951086,61.0,54.88,99.03,411.0,167.0,62.36268049723695,7.885613220978103,2.652075536394224,31.385092352307456,13.663255726090984,33.003380349507495,13.57690806971498,-34.174129969128316,-9.342335790292017,8.2826994708693,6.12718283013663,Dwc,D
