,site,n,d18O,d2H,a,b,theta,area,intersect_area,perc overlap,koppen,clim
40,Ehl_83,48,-15.30557796,-114.0290111,2.871935148,64.24440065,-0.120992844,578.7122107,572.7914748,0.989769119,Dfb,D
41,Ehl_83,48,-13.16896304,-97.864017,3.866345232,75.10798193,-0.120285736,910.8340421,765.1384276,0.840041536,Dfb,D
42,Ehl_83,48,-12.4624387,-93.04047824,4.696467665,86.51700411,-0.125190732,1274.456481,776.977546,0.609654043,Dfb,D
43,Ehl_83,48,-13.41585153,-99.14856696,4.765605297,87.76133198,-0.12297909,1311.818347,776.977546,0.592290501,Dfb,D
44,Ehl_83,48,-11.69352625,-90.98339547,4.143477367,98.39138779,-0.125934586,1278.716735,776.977546,0.607622881,Dfb,D
45,Ehl_83,60,-13.32901498,-98.84954631,3.369052684,75.14062828,-0.11974979,794.0252157,750.1564958,0.944751478,Dfb,D
46,Ehl_83,60,-12.6801885,-94.83474388,3.976689869,80.91124833,-0.118608211,1009.212576,771.0911886,0.764052298,Dfb,D
47,Ehl_83,60,-12.21106737,-91.56533088,4.509043049,87.81386282,-0.123963582,1241.935844,776.977546,0.625618102,Dfb,D
48,Ehl_83,60,-12.98435051,-97.24330137,3.862281967,78.79383823,-0.11866814,954.5265825,771.6771477,0.808439662,Dfb,D
49,Ehl_83,60,-14.00583937,-103.7707942,3.098709904,68.7256772,-0.122296858,667.9623521,666.8525778,0.998338567,Dfb,D
50,Ehl_83,60,-13.20148363,-98.22736645,4.023729182,87.72610393,-0.123706804,1107.158146,776.977546,0.70177648,Dfb,D
51,Ehl_83,60,-13.71389043,-101.7374025,3.316071466,74.63658394,-0.122123484,776.2961398,748.8403113,0.964632275,Dfb,D
52,Ehl_83,60,-13.06532579,-96.09247137,4.015859269,78.60593591,-0.113824022,990.1156741,766.1826996,0.773831502,Dfb,D
53,Ehl_83,60,-14.66934805,-108.8054833,3.288929161,67.48332025,-0.117741912,696.1503998,662.4600557,0.951604791,Dfb,D
54,Ehl_83,60,-14.86539245,-110.2181755,3.046841242,67.81170491,-0.121955439,648.0466749,635.477857,0.980605073,Dfb,D
55,Ehl_83,72,-12.47071282,-94.12383225,3.743192518,82.46848232,-0.123775815,968.2374311,775.5505918,0.80099216,Dfb,D
56,Ehl_83,72,-12.40555758,-93.6603484,3.878251484,82.59384339,-0.123999197,1004.697832,775.5374274,0.771911118,Dfb,D
57,Ehl_83,72,-13.77993275,-102.2324111,3.399621253,75.15061185,-0.122502241,801.3364389,753.7960434,0.940673613,Dfb,D
58,Ehl_83,72,-14.67840564,-108.9487969,2.875765144,68.16650331,-0.121414344,614.8612883,613.8367473,0.998333704,Dfb,D
59,Ehl_83,72,-13.77318186,-102.0506825,3.085294751,69.0259282,-0.122397853,667.9750856,667.9361839,0.999941762,Dfb,D
60,Ehl_83,72,-13.48488301,-100.2885892,3.504685203,79.89850174,-0.125010095,878.2946584,776.977546,0.884643369,Dfb,D
61,Ehl_83,72,-12.19968332,-91.66271881,3.528665815,85.21570283,-0.124124234,943.1541219,774.6554227,0.821345531,Dfb,D
62,Ehl_83,72,-12.67733857,-95.59641555,3.710985235,81.12917854,-0.122649519,944.3193232,774.8568387,0.82054536,Dfb,D
63,Ehl_83,72,-12.99708983,-96.9234352,3.757733625,76.91413293,-0.120618513,906.5331919,768.4166617,0.847643162,Dfb,D
64,Ehl_83,72,-13.59928839,-101.3075427,3.843490471,79.97710753,-0.122866793,964.147475,776.977546,0.805870021,Dfb,D
65,Ehl_83,84,-13.06516836,-97.72567551,3.517152576,77.93818532,-0.121361059,859.7916287,771.5234784,0.897337742,Dfb,D
66,Ehl_83,84,-14.08143719,-104.6256443,3.466546619,71.47713081,-0.120835405,777.1709896,723.789664,0.931313281,Dfb,D
67,Ehl_83,84,-12.50244042,-93.52978984,3.896826335,83.10492534,-0.122721734,1015.758006,776.3390903,0.76429532,Dfb,D
68,Ehl_83,84,-13.26269968,-98.08792596,3.286080686,76.54675314,-0.122680185,788.9634686,762.6221114,0.966612704,Dfb,D
69,Ehl_83,84,-12.73889095,-95.17387582,4.477101783,84.33938744,-0.119259843,1184.347797,776.977546,0.656038326,Dfb,D
70,Ehl_83,84,-12.97106101,-96.93068148,3.927474297,85.5789803,-0.124054016,1054.22179,776.977546,0.73701526,Dfb,D
71,Ehl_83,84,-13.77564712,-102.5325528,3.275588746,71.41744587,-0.119947323,733.7462286,715.0296877,0.974491806,Dfb,D
72,Ehl_83,84,-13.77929125,-102.1335385,3.278688644,76.38584014,-0.123839637,785.5344228,754.5614601,0.96057084,Dfb,D
73,Ehl_83,84,-13.02269875,-97.05493023,3.813738509,84.76505155,-0.123730737,1013.95787,776.977546,0.766281883,Dfb,D
74,Ehl_83,84,-13.8170604,-103.1392314,3.271095153,78.15150773,-0.126732627,801.831661,762.1804358,0.95054919,Dfb,D
75,Ehl_83,96,-13.50177571,-100.5753689,3.31763417,75.97410682,-0.121889561,790.5795511,761.6619701,0.963422301,Dfb,D
76,Ehl_83,96,-12.99449636,-97.05102958,3.568438168,83.56089672,-0.1229915,935.2624839,776.977546,0.830758808,Dfb,D
77,Ehl_83,96,-13.25398208,-99.1649306,3.660679276,81.80872503,-0.123143912,939.3196839,776.977546,0.827170514,Dfb,D
78,Ehl_83,96,-14.09892176,-104.4245238,3.453160223,77.76486238,-0.121799644,842.271493,752.0188605,0.892846151,Dfb,D
79,Ehl_83,96,-13.92004168,-103.2030804,3.283839362,76.76285435,-0.124318079,790.6514746,751.3514892,0.950294173,Dfb,D
80,Ehl_83,96,-12.34382762,-92.31003231,3.453323118,81.33525889,-0.124732183,880.9833269,765.4397649,0.86884705,Dfb,D
81,Ehl_83,96,-12.15857429,-91.20816832,3.715072845,81.1343494,-0.123002224,945.4177863,761.3604512,0.805316403,Dfb,D
82,Ehl_83,96,-12.84984388,-96.06061788,3.622740194,83.73687237,-0.124654403,951.4936532,776.977546,0.816587208,Dfb,D
83,Ehl_83,96,-12.52318819,-93.86482462,3.596230725,81.81262131,-0.12481161,922.8258823,774.8251192,0.839622224,Dfb,D
84,Ehl_83,96,-13.15825944,-98.25625682,3.686628091,78.08813578,-0.122884004,902.9561021,776.3475083,0.859784331,Dfb,D
85,Ehl_83,108,-13.52777119,-100.9456708,3.170562658,76.89191919,-0.124196703,764.660555,759.4571789,0.993195182,Dfb,D
86,Ehl_83,108,-13.50432731,-101.0130089,3.645583841,80.11228568,-0.123978984,916.04706,776.977546,0.848185186,Dfb,D
87,Ehl_83,108,-13.46438563,-100.3599165,3.151874805,79.91926357,-0.126554424,790.0812522,764.8761911,0.968098141,Dfb,D
88,Ehl_83,108,-12.75235245,-95.63136912,3.525205234,80.96719914,-0.124201916,895.2536911,776.3548508,0.867189779,Dfb,D
89,Ehl_83,108,-13.91522274,-103.8092252,3.430914587,72.53431131,-0.117685178,780.557347,723.5724716,0.926994633,Dfb,D
90,Ehl_83,108,-13.45057654,-100.1719217,4.097342841,79.48443414,-0.125849747,1021.494597,776.977546,0.760628151,Dfb,D
91,Ehl_83,108,-13.42876292,-100.3446318,3.266921044,75.58001943,-0.124368394,774.4573543,764.6997263,0.98740069,Dfb,D
92,Ehl_83,108,-13.62864393,-101.3664728,3.383018597,80.81535139,-0.126051226,857.5321859,776.977546,0.906062255,Dfb,D
93,Ehl_83,108,-13.15391804,-98.03943231,3.413456861,80.35018657,-0.123275848,860.2679281,776.977546,0.903180882,Dfb,D
94,Ehl_83,108,-13.77690428,-102.1628499,3.263290605,74.79060069,-0.124191395,765.5167424,746.4748069,0.975125383,Dfb,D
95,Ehl_83,120,-13.62337039,-101.3498533,3.165064392,79.60587895,-0.12589604,790.2765605,765.7648376,0.968983361,Dfb,D
96,Ehl_83,120,-13.713525,-102.0607072,3.212311182,70.89010244,-0.122142754,714.2578871,710.508248,0.994750301,Dfb,D
97,Ehl_83,120,-13.57122494,-101.0868405,3.142094992,76.57186448,-0.125783663,754.6400031,747.7130822,0.990820894,Dfb,D
98,Ehl_83,120,-13.44452789,-99.75209372,3.103421842,76.11769729,-0.126126292,740.9317711,737.8691443,0.99586652,Dfb,D
99,Ehl_83,120,-13.69664424,-101.2085873,3.125903529,77.32724928,-0.124326904,758.1578781,741.7320562,0.978334563,Dfb,D
100,Ehl_83,120,-13.51606264,-100.2374014,3.136636385,73.37479464,-0.123053158,721.8775802,720.5211404,0.998120956,Dfb,D
101,Ehl_83,120,-13.65087925,-101.5328705,3.121558619,79.08148389,-0.127037847,774.2807847,752.1114312,0.971367811,Dfb,D
