,lat,lon,cam2_m,cam2_b,cam5_m,cam5_b,echam5_m,echam5_b,gissE_m,gissE_b,HadAM3_m,HadAM3_b,isoGSM_m,isoGSM_b,lmdz_m,lmdz_b,miroc_m,miroc_b
17,-34.18,22.14,8.41337290837367,14.900282097181714,7.4389776797573015,7.255351349249128,7.8370171847198,10.75813973247567,8.458241902557045,14.217175966056603,7.306517176271668,7.52680005176851,7.2043513206764,10.140951125773329,8.175308393523867,11.978290855024927,7.443538845560482,10.388341122363173
18,40.78328,-111.84583,8.830653304355948,21.316698015476835,8.025700345187191,9.221999250851223,7.567569747304587,4.214527718522771,8.466682233315511,16.6606472173457,7.493028980125358,-0.06470941033129159,8.332514376261365,14.708495019784886,7.920101916602825,5.890499419069381,8.055341931393611,8.837994821113954
19,40.667,-111.7991,8.830653304355948,21.316698015476835,8.025700345187191,9.221999250851223,7.567569747304587,4.214527718522771,8.466682233315511,16.6606472173457,7.493028980125358,-0.06470941033129159,8.332514376261365,14.708495019784886,7.920101916602825,5.890499419069381,8.055341931393611,8.837994821113954
72,47.98,-55.82,7.918423818098185,6.250316976145791,8.043729579213334,11.307384309091958,7.703017327639488,6.218131108037873,7.814119272154787,6.417854091854356,9.425132481634263,20.194902645960106,8.026263535268082,11.483493257677997,7.965356895692448,9.572768286899262,8.098094193825222,9.737076879161322
73,46.5,-65.27,8.159505169202355,9.67936248994079,8.285915510655844,15.72089344725931,7.823063238110577,8.594319987510763,8.052503971292047,10.579381878772029,8.910677575728155,16.24297422291793,8.078884609311718,12.369543490773975,8.016138027228124,9.224086751860511,8.089761010526434,10.453195646309238
167,48.3518,-116.8397,8.195785291505077,10.467677510853486,7.457843698286306,0.8898448484804221,7.752950978021537,5.532476838487672,8.100478133369197,8.698740614638982,8.328598995980116,8.971680320403072,8.18478727201691,11.052727878016592,7.647169510502972,-1.148183829174609,8.182982357438272,9.239811493951263
168,71.3,-156.7,7.731427550278691,0.057789172717779044,8.176439746622407,9.673427228219428,7.827378254861253,1.8289145824272182,7.587610676966516,0.01012322228583767,7.783532957523757,-0.6335465773184654,7.970489151584145,7.180096272176955,7.663179876101106,-3.5353317670818134,7.48867122816487,-3.865069402465852
172,58.32,82.95,8.188941208618639,11.327942018145237,8.355506825822342,18.638034232324607,8.09980914417719,9.914549919045395,8.083395233310815,12.623963847351835,8.180846911409137,9.867564502586887,8.044045903995341,13.389971521787198,8.163658733419783,10.927124562467696,7.805199847864081,6.391934382566507
173,58.45,92.15,8.127885350461495,10.502452490101502,8.14979867940334,16.269178825048883,8.194918893617812,11.047417906280051,8.02651424640527,11.31474904282343,8.263593246381905,11.895380287690333,8.058803555668598,13.925512822829225,8.13700556916269,10.432197925177721,7.7469105712659845,5.128592896568562
174,54.88,99.03,8.083366088883793,10.671894088257174,8.240342231065476,19.216468636970045,8.310658816601919,13.526536532512566,8.05313384487778,14.172820153400224,8.333357566471287,14.3286089453313,8.117036135017878,15.467746247790192,8.084594777315464,10.43801384074192,7.776053038072302,5.933083623394244
175,54.47,113.58,7.83977733535581,6.223641965824254,8.354384292858619,22.649004242304738,8.505911792354821,17.064028261643195,8.04428500959836,13.907704152066806,8.283765339721407,15.128973371557526,7.9299559371236805,12.961779461572359,8.02703016328139,9.254400278505386,7.657830867320946,3.254664171885114
176,58.62,125.37,7.7672499125098815,3.342586143085747,8.38069355310828,22.637725961940895,8.564511857662893,16.90088873031919,8.009576924473022,11.800440086915133,8.21489797525261,13.065474567473961,7.945261962904277,11.431791268838259,8.003306948114178,7.143768017595906,7.592810971517534,0.7317005834854162
182,-1.63,103.65,8.148836122159386,12.315069876834066,7.884950582359158,9.974150939030713,7.139575384610857,4.597884393117327,8.310577195040436,16.96611377212539,8.120516277895115,13.729039094048542,8.047121145797298,12.202107724528812,8.847923835421717,13.959617477173392,8.116350323155638,9.994429078345416
183,1.53,124.92,7.868925280024988,11.284370631540664,7.772084456707615,7.6619918236922695,7.871799476208902,7.344692782149308,8.447527169638501,16.358955900809672,8.247497474232832,11.771534025167663,8.096171186769913,10.740927911103835,8.828329239254165,13.855649747153272,7.841203959774402,8.131504320870793
